id;ref;start_date;end_date;premium;i_pt
1;Chips;Group;Table pink info-mediaries;Fresh input white;Rhode Island Hawaii
2;Fresh interactive redundant;invoice;TCP Cotton;Argentina Global scalable;ability port
3;New Hampshire enable;Centralized compelling Automotive;Specialist backing up Global;markets;Facilitator Avon Bedfordshire
4;holistic;Down-sized Arkansas deposit;Computer UAE Dirham;Berkshire West Virginia Games;Corporate
5;Avon Arizona Electronics;Plastic;protocol Berkshire;Brook optimize Frozen;Computers scale
6;parsing Auto Loan Account Practical;AGP Virtual visualize;technologies cross-media;Self-enabling Avon Usability;Devolved
7;Product benchmark;protocol Granite cross-platform;grid-enabled Tajikistan Unbranded Frozen Towels;transform deposit TCP;Buckinghamshire Response unleash
8;Forward Orchestrator;networks;optimizing Intranet Generic;capacitor invoice;Assimilated
9;Berkshire Investment Account;Home Cross-group Developer;invoice;architect enable;backing up parsing Saint Lucia
10;indexing;alliance;Forward Innovative;indexing asymmetric Uganda;Pants Bike
