id;date;amount;claim_status;claim_outcomes
1;Personal Loan Account Dynamic web services;Ergonomic Steel Salad Division;UnderReview;Rejected
2;Metal;generate Ways Incredible Concrete Fish;UnderReview;Rejected
3;Viaduct experiences Malaysia;recontextualize Public-key;UnderReview;Settled
4;salmon parse;logistical invoice;UnderReview;Settled
5;eyeballs Credit Card Account;invoice;UnderReview;Settled
6;hacking transmit;Borders;UnderReview;Rejected
7;next-generation website Virginia;Executive Global;UnderReview;Settled
8;microchip San Marino;Accountability supply-chains compressing;UnderReview;Settled
9;Illinois;azure Officer payment;UnderReview;Rejected
10;Manor Electronics;GB Texas Factors;UnderReview;Rejected
