id;start_date;end_date;premium;deductible;is_active;timestamp
1;reboot Small Granite Computer optical;Wooden Steel;Outdoors payment olive;copying payment;false;Developer SDD
2;Savings Account;Pants;reboot;International;false;Congolese Franc Pants array
3;web-enabled;Frozen Dynamic Function-based;bleeding-edge;Palestinian Territory;true;Tasty Madagascar
4;El Salvador Colon US Dollar;standardization Granite;1080p Gloves Lock;AGP Chief killer;false;Executive Missouri capability
5;calculate Refined Metal Mouse;Home Loan Account indexing Licensed;Florida payment Home;structure platforms;false;function
6;Hat;panel;Bedfordshire whiteboard;Fresh Markets Pants;false;Concrete
7;Director Boliviano Mvdol quantifying;Health parsing Practical;Soft digital Home Loan Account;Outdoors;false;incubate dynamic
8;Small Concrete Computer Accounts;context-sensitive auxiliary;Myanmar Architect Fresh;Beauty;true;task-force Sports
9;Suriname Refined Granite Bike;Implementation Usability;cyan integrated;solution-oriented sensor Niger;true;capacitor
10;Nebraska Developer;Global alarm invoice;navigating invoice;Sleek;false;explicit THX
